"Video Version","#","Timecode","Username","Note","Reply","Date Added","Resolved"
"HA Stress en Burnout - deel 2.mp4",1,00:00:04,"E-WISE Nederland bv","dia 13",--,"Thursday, January 11, 2018 At 5:24 AM",No
"HA Stress en Burnout - deel 2.mp4",2,00:00:28,"E-WISE Nederland bv","hier pas turtle 2 van dia 13",--,"Thursday, January 11, 2018 At 5:25 AM",No
"HA Stress en Burnout - deel 2.mp4",3,00:01:10,"E-WISE Nederland bv","dia 14",--,"Thursday, January 11, 2018 At 5:26 AM",No
"HA Stress en Burnout - deel 2.mp4",4,00:02:08,"E-WISE Nederland bv","dia 15",--,"Thursday, January 11, 2018 At 5:28 AM",No
"HA Stress en Burnout - deel 2.mp4",5,00:03:26,"E-WISE Nederland bv","dia 16",--,"Thursday, January 11, 2018 At 5:30 AM",No
"HA Stress en Burnout - deel 2.mp4",6,00:04:00,"E-WISE Nederland bv","dia 17",--,"Thursday, January 11, 2018 At 5:31 AM",No
"HA Stress en Burnout - deel 2.mp4",7,00:06:10,"E-WISE Nederland bv","dia 18",--,"Thursday, January 11, 2018 At 5:34 AM",No
"HA Stress en Burnout - deel 2.mp4",8,00:07:37,"E-WISE Nederland bv","dia 19",--,"Thursday, January 11, 2018 At 5:36 AM",No
"HA Stress en Burnout - deel 2.mp4",9,00:08:18,"E-WISE Nederland bv","dia 20",--,"Thursday, January 11, 2018 At 5:38 AM",No
"HA Stress en Burnout - deel 2.mp4",10,00:09:19,"E-WISE Nederland bv","dia 21",--,"Thursday, January 11, 2018 At 5:46 AM",No
,,,,,,,
"Unknown file name",1,00:00:02,--,"eerste stukje eraf",--,"Thursday, December 21, 2017 At 7:51 AM",No
"Unknown file name",2,00:02:08,--,wegknippen,--,"Thursday, December 21, 2017 At 7:54 AM",No
"Unknown file name",3,00:02:53,--,"tot hier, hier weer verder dus",--,"Thursday, December 21, 2017 At 7:56 AM",No
"Unknown file name",4,00:08:12,--,"de tekst via deze link wegknippen",--,"Thursday, December 21, 2017 At 8:04 AM",No
"Unknown file name",5,00:08:18,--,"tot hier",--,"Thursday, December 21, 2017 At 8:04 AM",No
,,,,,,,
