"Video Version","#","Timecode","Username","Note","Reply","Date Added","Resolved"
"HA Stress en Burnout - deel 1.mp4",1,00:01:37,"E-WISE Nederland bv","dia 3",--,"Thursday, January 11, 2018 At 4:56 AM",No
"HA Stress en Burnout - deel 1.mp4",2,00:02:38,"E-WISE Nederland bv","dia 4",--,"Thursday, January 11, 2018 At 4:58 AM",No
"HA Stress en Burnout - deel 1.mp4",3,00:03:34,"E-WISE Nederland bv","dia 5",--,"Thursday, January 11, 2018 At 4:59 AM",No
"HA Stress en Burnout - deel 1.mp4",4,00:05:13,"E-WISE Nederland bv","dia 6",--,"Thursday, January 11, 2018 At 5:01 AM",No
"HA Stress en Burnout - deel 1.mp4",5,00:05:56,"E-WISE Nederland bv","dia 7",--,"Thursday, January 11, 2018 At 5:03 AM",No
"HA Stress en Burnout - deel 1.mp4",6,00:07:28,"E-WISE Nederland bv","dia 8",--,"Thursday, January 11, 2018 At 5:06 AM",No
"HA Stress en Burnout - deel 1.mp4",7,00:07:39,"E-WISE Nederland bv","dia 9",--,"Thursday, January 11, 2018 At 5:07 AM",No
"HA Stress en Burnout - deel 1.mp4",8,00:08:27,"E-WISE Nederland bv","dia 10",--,"Thursday, January 11, 2018 At 5:12 AM",No
"HA Stress en Burnout - deel 1.mp4",9,00:11:00,"E-WISE Nederland bv","dia 11",--,"Thursday, January 11, 2018 At 5:19 AM",No
,,,,,,,
"Unknown file name",1,00:02:18,--,"stukje wegknippen",--,"Thursday, December 21, 2017 At 7:22 AM",No
"Unknown file name",2,00:02:36,--,"tot hier",--,"Thursday, December 21, 2017 At 7:23 AM",No
,,,,,,,
