"Video Version","#","Timecode","Username","Note","Reply","Date Added","Resolved"
"HA Depressie - Deel 1.mp4",1,00:00:41,"E-WISE Nederland bv","dia 3",--,"Thursday, January 11, 2018 At 7:39 AM",No
"HA Depressie - Deel 1.mp4",2,00:01:14,"E-WISE Nederland bv","dia 4",--,"Thursday, January 11, 2018 At 7:41 AM",No
"HA Depressie - Deel 1.mp4",3,00:01:40,"E-WISE Nederland bv","dia 5",--,"Thursday, January 11, 2018 At 7:42 AM",No
"HA Depressie - Deel 1.mp4",4,00:02:23,"E-WISE Nederland bv","dia 6",--,"Thursday, January 11, 2018 At 7:43 AM",No
"HA Depressie - Deel 1.mp4",5,00:03:26,"E-WISE Nederland bv","nu weer auteur in beeld",--,"Thursday, January 11, 2018 At 7:45 AM",No
"HA Depressie - Deel 1.mp4",6,00:03:58,"E-WISE Nederland bv","dia 7",--,"Thursday, January 11, 2018 At 7:46 AM",No
"HA Depressie - Deel 1.mp4",7,00:04:58,"E-WISE Nederland bv","auteur weer in beeld",--,"Thursday, January 11, 2018 At 7:47 AM",No
"HA Depressie - Deel 1.mp4",8,00:05:33,"E-WISE Nederland bv","dia 8",--,"Thursday, January 11, 2018 At 7:48 AM",No
"HA Depressie - Deel 1.mp4",9,00:06:03,"E-WISE Nederland bv","dia 9",--,"Thursday, January 11, 2018 At 7:49 AM",No
"HA Depressie - Deel 1.mp4",10,00:06:56,"E-WISE Nederland bv","auteur weer in beeld",--,"Thursday, January 11, 2018 At 7:50 AM",No
"HA Depressie - Deel 1.mp4",11,00:08:16,"E-WISE Nederland bv","dia 10",--,"Thursday, January 11, 2018 At 7:55 AM",No
"HA Depressie - Deel 1.mp4",12,00:08:51,"E-WISE Nederland bv","dia 11",--,"Thursday, January 11, 2018 At 7:59 AM",No
,,,,,,,
"Unknown file name",1,00:00:01,--,"klein stukje met het tellen eraf knippen",--,"Thursday, December 21, 2017 At 10:42 AM",No
"Unknown file name",2,00:01:07,--,"vanaf hier stukje wegknippen",--,"Thursday, December 21, 2017 At 10:44 AM",No
"Unknown file name",3,00:01:19,--,"tot hier, het woordje 'en' nog net wegknippen, zodat hij begint met de reden",--,"Thursday, December 21, 2017 At 10:45 AM",No
,,,,,,,
